Car,Price,Driver age,Experience,Car age,Gender,Ownership type,Vehicle class,Annual mileage
DongFeng,2.338,26,5,0.654,0,0,2,8.771
Chery,0.973,30,8,10.576,1,0,2,4.508
Acura,0.563,19,1,5.321,0,0,0,49.061
Lada (ВАЗ),0.488,53,22,4.293,0,0,3,57.716
Volvo,0.354,21,1,5.851,1,0,0,7.870
Changan,1.001,28,4,3.428,1,0,3,56.807
Maybach,0.988,29,11,6.016,1,0,0,52.936
ZAZ,2.478,48,20,6.871,0,0,0,15.242
Daewoo,1.100,26,4,3.444,0,0,0,27.543
Mini,3.804,37,1,3.779,0,0,2,43.364
Saab,0.585,23,5,2.763,0,0,2,27.065
Haima,0.334,28,5,3.704,0,1,0,75.361
Smart,1.626,18,0,6.924,0,0,0,44.525
Great Wall,2.393,61,19,0.353,0,0,3,38.913
Lifan,1.929,33,11,1.665,0,0,1,68.788
Genesis,0.458,47,19,6.199,0,0,0,8.056
BYD,0.172,40,15,11.611,1,0,0,21.431
BMW,0.689,30,11,2.926,1,1,1,39.341
Mercedes-Benz,3.063,19,0,0.188,1,1,0,24.523
Genesis,2.265,35,8,4.924,0,0,0,56.336
Genesis,0.473,32,10,5.479,0,0,2,10.172
BMW,1.113,40,12,5.353,1,0,0,31.622
Mercedes-Benz,1.088,48,15,0.749,1,0,0,26.430
Toyota,0.709,56,26,2.561,1,0,2,11.693
Tesla,0.509,25,3,5.995,0,0,3,17.130
Daewoo,0.177,41,7,1.118,0,0,2,7.062
SsangYong,0.370,33,2,5.662,1,0,0,33.930
ZAZ,2.878,21,0,0.381,0,0,2,6.113
Ford,0.335,47,27,4.651,0,0,2,19.615
Lifan,2.085,41,17,3.146,1,0,0,28.536
Lada (ВАЗ),0.321,25,6,0.419,0,0,0,29.328
Alfa Romeo,0.515,45,15,4.251,1,1,2,30.646
Porsche,0.167,46,21,4.893,0,0,1,38.373
Honda,3.335,20,1,8.935,0,0,0,34.093
Honda,1.373,21,2,2.182,0,0,0,35.380
Fiat,2.101,35,16,1.001,0,0,1,12.761
BMW,1.124,44,11,4.504,0,0,1,13.545
BMW,2.274,32,7,3.106,0,0,0,37.190
Opel,1.427,28,8,0.077,0,0,0,9.983
BMW,0.182,57,13,3.427,0,1,1,33.944
Audi,1.432,39,15,6.002,0,0,1,3.594
Honda,1.232,27,5,4.831,0,0,1,44.496
ГАЗ,0.568,31,11,0.273,0,0,0,13.443
Audi,1.711,41,3,6.537,0,0,2,73.368
Audi,0.662,28,7,5.098,0,0,2,25.003
